"file","spp_name","file_binomial","english_common_name","species_id","aou","french_common_name","spanish_common_name","sporder","family","genus","species","binomial","old_genus","new_binomial","matched_filename","climate_vol_1.4","climate_vol_2.1"
"Polioptila_caerulea_22711581.shp","Polioptila_caerulea","Polioptila caerulea","Blue-gray Gnatcatcher",1089,7510,"Gobemoucheron gris-bleu","Polioptila caerulea","Passeriformes","Polioptilidae","Polioptila","caerulea","Polioptila caerulea",NA,NA,"Polioptila_caerulea",NA,NA
"Quiscalus_quiscula_22724320.shp","Quiscalus_quiscula","Quiscalus quiscula","Common Grackle",1474,5110,"Quiscale bronzé","Quiscalus quiscula","Passeriformes","Icteridae","Quiscalus","quiscula","Quiscalus quiscula",NA,NA,"Quiscalus_quiscula",NA,NA
"Sayornis_phoebe_22699886.shp","Sayornis_phoebe","Sayornis phoebe","Eastern Phoebe",891,4560,"Moucherolle phébi","Sayornis phoebe","Passeriformes","Tyrannidae","Sayornis","phoebe","Sayornis phoebe",NA,NA,"Sayornis_phoebe",NA,NA
"Seiurus_aurocapilla_22721779.shp","Seiurus_aurocapilla","Seiurus aurocapilla","Ovenbird",1251,6740,"Paruline couronnée","Seiurus aurocapilla","Passeriformes","Parulidae","Seiurus","aurocapilla","Seiurus aurocapilla",NA,NA,"Seiurus_aurocapilla",NA,NA
"Sialia_sialis_22708550.shp","Sialia_sialis","Sialia sialis","Eastern Bluebird",1129,7660,"Merlebleu de l'Est","Sialia sialis","Passeriformes","Turdidae","Sialia","sialis","Sialia sialis",NA,NA,"Sialia_sialis",NA,NA
"Sitta_carolinensis_22711202.shp","Sitta_carolinensis","Sitta carolinensis","White-breasted Nuthatch",1051,7270,"Sittelle à poitrine blanche","Sitta carolinensis","Passeriformes","Sittidae","Sitta","carolinensis","Sitta carolinensis",NA,NA,"Sitta_carolinensis",NA,NA
"Spizella_passerina_22721162.shp","Spizella_passerina","Spizella passerina","Chipping Sparrow",1381,5600,"Bruant familier","Spizella passerina","Passeriformes","Emberizidae","Spizella","passerina","Spizella passerina",NA,NA,"Spizella_passerina",NA,NA
"Spizella_pusilla_22721179.shp","Spizella_pusilla","Spizella pusilla","Field Sparrow",1384,5630,"Bruant des champs","Spizella pusilla","Passeriformes","Emberizidae","Spizella","pusilla","Spizella pusilla",NA,NA,"Spizella_pusilla",NA,NA
"Sturnella_magna_22735434.shp","Sturnella_magna","Sturnella magna","Eastern Meadowlark",1467,5010,"Sturnelle des prés","Sturnella magna","Passeriformes","Icteridae","Sturnella","magna","Sturnella magna",NA,NA,"Sturnella_magna",NA,NA
"Sturnus_vulgaris_22710886.shp","Sturnus_vulgaris","Sturnus vulgaris","European Starling",1181,4930,"Étourneau sansonnet","Sturnus vulgaris","Passeriformes","Sturnidae","Sturnus","vulgaris","Sturnus vulgaris",NA,NA,"Sturnus_vulgaris",NA,NA
"Thryothorus_ludovicianus_22711450.shp","Thryothorus_ludovicianus","Thryothorus ludovicianus","Carolina Wren",1069,7180,"Troglodyte de Caroline","Thryothorus ludovicianus","Passeriformes","Troglodytidae","Thryothorus","ludovicianus","Thryothorus ludovicianus",NA,NA,"Thryothorus_ludovicianus",NA,NA
"Toxostoma_rufum_22711099.shp","Toxostoma_rufum","Toxostoma rufum","Brown Thrasher",1168,7050,"Moqueur roux","Toxostoma rufum","Passeriformes","Mimidae","Toxostoma","rufum","Toxostoma rufum",NA,NA,"Toxostoma_rufum",NA,NA
"Turdus_migratorius_22708958.shp","Turdus_migratorius","Turdus migratorius","American Robin",1158,7610,"Merle d'Amérique","Turdus migratorius","Passeriformes","Turdidae","Turdus","migratorius","Turdus migratorius",NA,NA,"Turdus_migratorius",NA,NA
"Tyrannus_tyrannus_22700506.shp","Tyrannus_tyrannus","Tyrannus tyrannus","Eastern Kingbird",918,4440,"Tyran tritri","Tyrannus tyrannus","Passeriformes","Tyrannidae","Tyrannus","tyrannus","Tyrannus tyrannus",NA,NA,"Tyrannus_tyrannus",NA,NA
"Vireo_flavifrons_22705237.shp","Vireo_flavifrons","Vireo flavifrons","Yellow-throated Vireo",957,6280,"Viréo à gorge jaune","Vireo flavifrons","Passeriformes","Vireonidae","Vireo","flavifrons","Vireo flavifrons",NA,NA,"Vireo_flavifrons",NA,NA
"Vireo_griseus_22705188.shp","Vireo_griseus","Vireo griseus","White-eyed Vireo",949,6310,"Viréo aux yeux blancs","Vireo griseus","Passeriformes","Vireonidae","Vireo","griseus","Vireo griseus",NA,NA,"Vireo_griseus",NA,NA
"Vireo_olivaceus_22705243.shp","Vireo_olivaceus","Vireo olivaceus","Red-eyed Vireo",966,6240,"Viréo aux yeux rouges","Vireo olivaceus","Passeriformes","Vireonidae","Vireo","olivaceus","Vireo olivaceus",NA,NA,"Vireo_olivaceus",NA,NA
"Wilsonia_citrina_22721876.shp","Wilsonia_citrina","Wilsonia citrina","Hooded Warbler",1279,6840,"Paruline à capuchon","Setophaga citrina","Passeriformes","Parulidae","Setophaga","citrina","Setophaga citrina","Wilsonia","Wilsonia citrina","Wilsonia_citrina",NA,NA
"Zenaida_macroura_22690736.shp","Zenaida_macroura","Zenaida macroura","Mourning Dove",158,3160,"Tourterelle triste","Zenaida macroura","Columbiformes","Columbidae","Zenaida","macroura","Zenaida macroura",NA,NA,"Zenaida_macroura",NA,NA
